,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
1098,2.53483803787977,48.8636664045981,Médiathèque Antoine de Saint-Exupéry,93050,Neuilly-sur-Marne,library,Médiathèque,POINT (2.53483803787977 48.8636664045981),15665
1099,2.60719877697031,48.8857480136259,Médiathèque Olympe de Gouges,77108,Chelles,library,Médiathèque,POINT (2.60719877697031 48.8857480136259),16544
1099,2.60719877697031,48.8857480136259,Médiathèque Olympe de Gouges,77108,Chelles,library,Médiathèque,POINT (2.60719877697031 48.8857480136259),16545
1099,2.60719877697031,48.8857480136259,Médiathèque Olympe de Gouges,77108,Chelles,library,Médiathèque,POINT (2.60719877697031 48.8857480136259),16670
1099,2.60719877697031,48.8857480136259,Médiathèque Olympe de Gouges,77108,Chelles,library,Médiathèque,POINT (2.60719877697031 48.8857480136259),16671
1100,2.30053172996314,48.9555666639025,Bibliothèque Albert Camus,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.30053172996314 48.9555666639025),12127
1100,2.30053172996314,48.9555666639025,Bibliothèque Albert Camus,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.30053172996314 48.9555666639025),12252
1100,2.30053172996314,48.9555666639025,Bibliothèque Albert Camus,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.30053172996314 48.9555666639025),12253
1100,2.30053172996314,48.9555666639025,Bibliothèque Albert Camus,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.30053172996314 48.9555666639025),12378
1100,2.30053172996314,48.9555666639025,Bibliothèque Albert Camus,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.30053172996314 48.9555666639025),12379
1101,2.31336725665784,48.952627971342,Mendès-France,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.31336725665784 48.952627971342),12379
1101,2.31336725665784,48.952627971342,Mendès-France,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.31336725665784 48.952627971342),12505
1101,2.31336725665784,48.952627971342,Mendès-France,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.31336725665784 48.952627971342),12506
1101,2.31336725665784,48.952627971342,Mendès-France,93031,Épinay-sur-Seine,library,Bibliothèque,POINT (2.31336725665784 48.952627971342),12631
1102,2.21782578706149,48.7547281834932,Médiathèque,91064,Bièvres,library,Médiathèque,POINT (2.21782578706149 48.7547281834932),11015
1102,2.21782578706149,48.7547281834932,Médiathèque,91064,Bièvres,library,Médiathèque,POINT (2.21782578706149 48.7547281834932),11141
1102,2.21782578706149,48.7547281834932,Médiathèque,91064,Bièvres,library,Médiathèque,POINT (2.21782578706149 48.7547281834932),11142
1102,2.21782578706149,48.7547281834932,Médiathèque,91064,Bièvres,library,Médiathèque,POINT (2.21782578706149 48.7547281834932),11267
1103,2.33741439849278,49.0317724708032,Bibliothèque-Médiathèque Antoine de Saint-Exupéry,95199,Domont,library,Médiathèque,POINT (2.33741439849278 49.0317724708032),12622
1103,2.33741439849278,49.0317724708032,Bibliothèque-Médiathèque Antoine de Saint-Exupéry,95199,Domont,library,Médiathèque,POINT (2.33741439849278 49.0317724708032),12748
1103,2.33741439849278,49.0317724708032,Bibliothèque-Médiathèque Antoine de Saint-Exupéry,95199,Domont,library,Médiathèque,POINT (2.33741439849278 49.0317724708032),12749
1103,2.33741439849278,49.0317724708032,Bibliothèque-Médiathèque Antoine de Saint-Exupéry,95199,Domont,library,Médiathèque,POINT (2.33741439849278 49.0317724708032),12874
1103,2.33741439849278,49.0317724708032,Bibliothèque-Médiathèque Antoine de Saint-Exupéry,95199,Domont,library,Médiathèque,POINT (2.33741439849278 49.0317724708032),12875
1104,2.82541084609357,48.577641445919,Missing,77426,Saint-Méry,library,Dépôt à livres,POINT (2.82541084609357 48.577641445919),19602
1104,2.82541084609357,48.577641445919,Missing,77426,Saint-Méry,library,Dépôt à livres,POINT (2.82541084609357 48.577641445919),19603
1104,2.82541084609357,48.577641445919,Missing,77426,Saint-Méry,library,Dépôt à livres,POINT (2.82541084609357 48.577641445919),19728
1104,2.82541084609357,48.577641445919,Missing,77426,Saint-Méry,library,Dépôt à livres,POINT (2.82541084609357 48.577641445919),19729
1104,2.82541084609357,48.577641445919,Missing,77426,Saint-Méry,library,Dépôt à livres,POINT (2.82541084609357 48.577641445919),19855
1105,2.36666385686301,48.9104044347786,Grand équipement documentaire,93001,Aubervilliers,library,Bibliothèque,POINT (2.36666385686301 48.9104044347786),13139
1105,2.36666385686301,48.9104044347786,Grand équipement documentaire,93001,Aubervilliers,library,Bibliothèque,POINT (2.36666385686301 48.9104044347786),13140
1105,2.36666385686301,48.9104044347786,Grand équipement documentaire,93001,Aubervilliers,library,Bibliothèque,POINT (2.36666385686301 48.9104044347786),13265
1105,2.36666385686301,48.9104044347786,Grand équipement documentaire,93001,Aubervilliers,library,Bibliothèque,POINT (2.36666385686301 48.9104044347786),13266
1105,2.36666385686301,48.9104044347786,Grand équipement documentaire,93001,Aubervilliers,library,Bibliothèque,POINT (2.36666385686301 48.9104044347786),13392
1106,2.24231867371677,48.7116620324577,Médiathèque George Sand,91477,Palaiseau,library,Médiathèque,POINT (2.24231867371677 48.7116620324577),11398
1106,2.24231867371677,48.7116620324577,Médiathèque George Sand,91477,Palaiseau,library,Médiathèque,POINT (2.24231867371677 48.7116620324577),11523
1106,2.24231867371677,48.7116620324577,Médiathèque George Sand,91477,Palaiseau,library,Médiathèque,POINT (2.24231867371677 48.7116620324577),11524
1106,2.24231867371677,48.7116620324577,Médiathèque George Sand,91477,Palaiseau,library,Médiathèque,POINT (2.24231867371677 48.7116620324577),11650
1107,2.23769745650012,48.7272537813369,Médiathèque - Annexe du Pileu,91477,Palaiseau,library,Médiathèque,POINT (2.23769745650012 48.7272537813369),11270
1107,2.23769745650012,48.7272537813369,Médiathèque - Annexe du Pileu,91477,Palaiseau,library,Médiathèque,POINT (2.23769745650012 48.7272537813369),11396
1107,2.23769745650012,48.7272537813369,Médiathèque - Annexe du Pileu,91477,Palaiseau,library,Médiathèque,POINT (2.23769745650012 48.7272537813369),11397
1107,2.23769745650012,48.7272537813369,Médiathèque - Annexe du Pileu,91477,Palaiseau,library,Médiathèque,POINT (2.23769745650012 48.7272537813369),11522
1107,2.23769745650012,48.7272537813369,Médiathèque - Annexe du Pileu,91477,Palaiseau,library,Médiathèque,POINT (2.23769745650012 48.7272537813369),11523
1108,2.24713493576359,48.7861000253438,La Petite Bibliothèque ronde,92023,Clamart,library,Bibliothèque,POINT (2.24713493576359 48.7861000253438),11390
1108,2.24713493576359,48.7861000253438,La Petite Bibliothèque ronde,92023,Clamart,library,Bibliothèque,POINT (2.24713493576359 48.7861000253438),11515
1108,2.24713493576359,48.7861000253438,La Petite Bibliothèque ronde,92023,Clamart,library,Bibliothèque,POINT (2.24713493576359 48.7861000253438),11516
1108,2.24713493576359,48.7861000253438,La Petite Bibliothèque ronde,92023,Clamart,library,Bibliothèque,POINT (2.24713493576359 48.7861000253438),11641
1108,2.24713493576359,48.7861000253438,La Petite Bibliothèque ronde,92023,Clamart,library,Bibliothèque,POINT (2.24713493576359 48.7861000253438),11642
1109,2.30165409955921,48.8236641458469,Bibliothèque universitaire Jean Chauvin,92046,Malakoff,library,Bibliothèque,POINT (2.30165409955921 48.8236641458469),12267
1109,2.30165409955921,48.8236641458469,Bibliothèque universitaire Jean Chauvin,92046,Malakoff,library,Bibliothèque,POINT (2.30165409955921 48.8236641458469),12268
1109,2.30165409955921,48.8236641458469,Bibliothèque universitaire Jean Chauvin,92046,Malakoff,library,Bibliothèque,POINT (2.30165409955921 48.8236641458469),12393
1109,2.30165409955921,48.8236641458469,Bibliothèque universitaire Jean Chauvin,92046,Malakoff,library,Bibliothèque,POINT (2.30165409955921 48.8236641458469),12394
1110,2.4083630547024,48.8914379278809,Bibliothèque Elsa Triolet,93055,Pantin,library,Bibliothèque,POINT (2.4083630547024 48.8914379278809),13646
1110,2.4083630547024,48.8914379278809,Bibliothèque Elsa Triolet,93055,Pantin,library,Bibliothèque,POINT (2.4083630547024 48.8914379278809),13771
1110,2.4083630547024,48.8914379278809,Bibliothèque Elsa Triolet,93055,Pantin,library,Bibliothèque,POINT (2.4083630547024 48.8914379278809),13772
1110,2.4083630547024,48.8914379278809,Bibliothèque Elsa Triolet,93055,Pantin,library,Bibliothèque,POINT (2.4083630547024 48.8914379278809),13898
1111,2.40786252549935,48.8833404172688,Bibliothèque François-Mitterrand,93061,Le Pré-Saint-Gervais,library,Bibliothèque,POINT (2.40786252549935 48.8833404172688),13647
1111,2.40786252549935,48.8833404172688,Bibliothèque François-Mitterrand,93061,Le Pré-Saint-Gervais,library,Bibliothèque,POINT (2.40786252549935 48.8833404172688),13772
1111,2.40786252549935,48.8833404172688,Bibliothèque François-Mitterrand,93061,Le Pré-Saint-Gervais,library,Bibliothèque,POINT (2.40786252549935 48.8833404172688),13773
1111,2.40786252549935,48.8833404172688,Bibliothèque François-Mitterrand,93061,Le Pré-Saint-Gervais,library,Bibliothèque,POINT (2.40786252549935 48.8833404172688),13898
1111,2.40786252549935,48.8833404172688,Bibliothèque François-Mitterrand,93061,Le Pré-Saint-Gervais,library,Bibliothèque,POINT (2.40786252549935 48.8833404172688),13899
1112,2.26320149335992,48.798597736494,Médiathèque La Buanderie-Anne Capezzuoli,92023,Clamart,library,Médiathèque,POINT (2.26320149335992 48.798597736494),11640
1112,2.26320149335992,48.798597736494,Médiathèque La Buanderie-Anne Capezzuoli,92023,Clamart,library,Médiathèque,POINT (2.26320149335992 48.798597736494),11766
1112,2.26320149335992,48.798597736494,Médiathèque La Buanderie-Anne Capezzuoli,92023,Clamart,library,Médiathèque,POINT (2.26320149335992 48.798597736494),11767
1112,2.26320149335992,48.798597736494,Médiathèque La Buanderie-Anne Capezzuoli,92023,Clamart,library,Médiathèque,POINT (2.26320149335992 48.798597736494),11892
1112,2.26320149335992,48.798597736494,Médiathèque La Buanderie-Anne Capezzuoli,92023,Clamart,library,Médiathèque,POINT (2.26320149335992 48.798597736494),11893
1113,2.43276799531797,48.8804027023061,Médiathèque Romain Rolland,93063,Romainville,library,Médiathèque,POINT (2.43276799531797 48.8804027023061),14025
